kind,name,display,vertical,description,replies,room,linksTo,positionX,positionY,verbs,verbs_display,onVerb_description,onVerb_linksTo,onVerb_alter,onVerb_make,onVerb_dialog,moveTo,moveToX,moveToY
person,angela_sp_c,angela,,dressed in overalls and rubber boots. hair in braids.,,,,49,12,star_projector:place|cake:place,give angela the decorations | give angela the cake,you hang the star projector from a hook in the ceiling.|you place the cake from ms. borowski on a table.,,angela_c|angela_sp,,,,,
person,angela_rp_c,angela,,dressed in overalls and rubber boots. hair in braids.,,,,49,12,record_player:place|cake:place,give angela the record player | give angela the cake,you set the record player from the librarian on the floor.|you place the cake from ms. borowski on a table.,,angela_c|angela_rp,,,,,
person,angela_rp_sp,angela,,dressed in overalls and rubber boots. hair in braids.,,,,49,12,record_player:place|star_projector:place,give angela the record player | give angela the decorations,you set the record player from the librarian on the floor|you hang the star projector from a hook in the ceiling.,,angela_sp|angela_rp,,,,,
person,angela_rp,angela,,dressed in overalls and rubber boots. hair in braids.,,,,49,12,record_player:place,give angela the record player ,you set the record player from the librarian on the floor.,,angela_all,,,,,
person,angela_sp,angela,,dressed in overalls and rubber boots. hair in braids.,,,,49,12,star_projector:place,give angela the decorations ,you hang the star projector from a hook in the ceiling.,,angela_all,,,,,
person,angela_c,angela,,dressed in overalls and rubber boots. hair in braids.,,,,49,12,cake:place,give angela the cake,you place the cake from ms. borowski on a table.,,angela_all,,,,,
person,angela_all,angela,,looking around the room approvingly.,,,,49,12,talk,talk,,,,,angela_dialog_4,,,
dialog,angela_dialog_4,,,wow... you got everything. | it's... it's really looking nice in here. like a party. | like <i>my</i> party. | just one last thing missing: our friends. | can you go tell everyone we're ready now? ,[x],angela,,,,inspect,,,,"astronomer_3:astronomer_4,msBorowski5:msBorowski6,cain_3:cain_4,abel_3:abel_4,librarian_3:librarian_4,mr_pond_4:mr_pond_5,ed_lorris_2:ed_lorris_3,cat:cat_2,goat:goat_2",,,,,
person,angela_ready,angela,,wearing a paper birthday crown. beaming.,,,,49,12,talk,talk,,,,,angela_dialog_5,,,
dialog,angela_dialog_5,,,"once everyone's here, and we're ready to kick things off... well, why don't you do the honors? | you kind of made it possible, after all. | turn on the star projector and spin the record. that's a birthday to me.",[x],angela,,,,,,,,star_projector:star_projector_2,,,,,
object,school_bus,school bus,,"a bluebird model, now actually painted blue.",,tunnel_e_6,,25,84,,,,,,,,,,
object,firepit,fire pit,,a ring of blackened stones around a firepit that hasn't been used in some time. what's left to burn? ,,tunnel_e_6,,70,70,,,,,,,,,,
object,star_projector_2,star projector,,a light projects outwards from a dome of cut stars. pinpricks of light are cast on every surface. ,,,,60,58,starry,turn on,you press the switch on the star projector.,,record_player:record_player_2,,,,,
object,record_player_2,record player,,a magnavox portable player. it is painted baby blue.,,,,24,79,end_game,play record,you drop the needle on the record. take a beat. and begin to dance.,,,,,,,
object,bus_seats,bus seats,,"pulled out of the bus, they've been drilled into the floor.",,tunnel_e_6,,32,75,,,,,,,,,,
object,horse_trailer,horse trailer,,"a horse-hauler, renovated into a comfortable enough bedroom.",,tunnel_e_6,,69,18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,starry,,,,,,,,,,,,,,,,,,
object,✳,✳,,,,starry,,20,35,,,,,,,,,,
object,⋆,⋆,,,,starry,,81,67,,,,,,,,,,
object,✥,✥,,,,starry,,86,100,,,,,,,,,,
object,*,*,,,,starry,,67,56,,,,,,,,,,
object,٭,٭,,,,starry,,32,48,,,,,,,,,,
object,✷,✷,,,,starry,,98,75,,,,,,,,,,
object,✦,✦,,,,starry,,56,83,,,,,,,,,,
object,✧,✧,,,,starry,,33,60,,,,,,,,,,
object,✴,✴,,,,starry,,19,34,,,,,,,,,,
object,✹,✹,,,,starry,,30,39,,,,,,,,,,
object,⁎,⁎,,,,starry,,88,37,,,,,,,,,,
object,𓋪,𓋪,,,,starry,,85,54,,,,,,,,,,
object,✺,✺,,,,starry,,9,1,,,,,,,,,,
object,☼,☼,,,,starry,,47,80,,,,,,,,,,
object,☀,☀,,,,starry,,49,76,,,,,,,,,,
object,.,.,,,,starry,,4,20,,,,,,,,,,
object,*,*,,,,starry,,68,57,,,,,,,,,,
object,.,.,,,,starry,,26,94,,,,,,,,,,
object,.,.,,,,starry,,71,99,,,,,,,,,,
object,.,.,,,,starry,,88,26,,,,,,,,,,
object,.,.,,,,starry,,52,13,,,,,,,,,,
object,⁎,⁎,,,,starry,,85,92,,,,,,,,,,
object,𓋪,𓋪,,,,starry,,63,2,,,,,,,,,,
object,☼,☼,,,,starry,,67,13,,,,,,,,,,
object,☀,☀,,,,starry,,45,55,,,,,,,,,,
object,.,.,,,,starry,,92,78,,,,,,,,,,
object,.,.,,,,starry,,42,86,,,,,,,,,,
object,*,*,,,,starry,,76,93,,,,,,,,,,
object,.,.,,,,starry,,85,2,,,,,,,,,,
object,.,.,,,,starry,,53,92,,,,,,,,,,
object,.,.,,,,starry,,31,62,,,,,,,,,,
object,✺,✺,,,,starry,,58,71,,,,,,,,,,
object,⁎,⁎,,,,starry,,76,44,,,,,,,,,,
object,𓋪,𓋪,,,,starry,,30,52,,,,,,,,,,
object,☼,☼,,,,starry,,59,7,,,,,,,,,,
object,☀,☀,,,,starry,,14,54,,,,,,,,,,
object,.,.,,,,starry,,11,75,,,,,,,,,,
object,*,*,,,,starry,,67,58,,,,,,,,,,
object,.,.,,,,starry,,38,79,,,,,,,,,,
object,.,.,,,,starry,,33,92,,,,,,,,,,
object,.,.,,,,starry,,72,2,,,,,,,,,,
object,*,*,,,,starry,,25,77,,,,,,,,,,
object,.,.,,,,starry,,45,17,,,,,,,,,,
object,.,.,,,,starry,,41,66,,,,,,,,,,
object,.,.,,,,starry,,68,0,,,,,,,,,,
object,.,.,,,,starry,,53,36,,,,,,,,,,
object,.,.,,,,starry,,1,2,,,,,,,,,,
object,.,.,,,,starry,,89,60,,,,,,,,,,
object,⁎,⁎,,,,starry,,86,52,,,,,,,,,,
object,𓋪,𓋪,,,,starry,,90,73,,,,,,,,,,
object,☼,☼,,,,starry,,94,76,,,,,,,,,,
object,☀,☀,,,,starry,,79,53,,,,,,,,,,
object,.,.,,,,starry,,31,8,,,,,,,,,,
object,*,*,,,,starry,,82,89,,,,,,,,,,
object,.,.,,,,starry,,58,38,,,,,,,,,,
object,.,.,,,,starry,,95,48,,,,,,,,,,
object,.,.,,,,starry,,60,12,,,,,,,,,,
object,.,.,,,,starry,,83,36,,,,,,,,,,
object,.,.,,,,starry,,93,53,,,,,,,,,,
object,*,*,,,,starry,,45,81,,,,,,,,,,
object,.,.,,,,starry,,40,81,,,,,,,,,,
object,.,.,,,,starry,,50,19,,,,,,,,,,
object,.,.,,,,starry,,81,29,,,,,,,,,,
object,.,.,,,,starry,,48,73,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_e_7,,,,,,,,,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_e_7,tunnel_e_8,95,50,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_e_7,tunnel_e_6,5,50,,,,,,,,,,
object,south,↡,,following the tunnel south,,tunnel_e_7,tunnel_ew_7,50,95,,,,,,,,,,
object,trash pile,trash pile,,"bits of wood, fabric, metal, glass, plastic. little usable. bigger pieces have already been integrated into homes or decoration, or– in the case of anything copper– soldered into the wires that skirt the walls of the tunnels.",,tunnel_e_7,,36,75,inspect|make,inspect|dig through,"you find yourself here sometimes, looking for a particular shape of thing. <br> tiny machine screws.<br> a square of bright blue cotton. <br>a wedge of plastic to shove under a sagging window.<br><br> it is why the pile is still here, and not in the lake.| you kick at the pile with the toe of your boot until a piece of plastic piping works itself free. always useful.",,,|piping,,,,
object,piping,piping,,"a little piece of plastic tubing, requisitioned from a coffee maker.",,,,30,70,take,take,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_e_8,,,,,,,,,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_e_8,tunnel_e_7,5,50,,,,,,,,,,
object,shrine,shrine,,"photographs and garlands.<br>stacked stones, coins, a cross or two.<br>a dried flower.<br>a carved wooden horse.<br>a bottle of liquor- just a little bit left, in the very bottom.<br>candles, now wax.",,tunnel_e_8,,56,50,inspect|flower:place,inspect|leave flower,"and letters, countless letters, held down with stones and pinned to objects and tied to the garlands. prayers, wishes, unsent mail to loved ones elsewhere.|you place your cut flower among the remembrances.",,,,,,,
object,end of tunnel,end of tunnel,right,"the tunnel narrows and then stops. the wall is still scratched with the markings of an excavator, turned to heel. ",,tunnel_e_8,,67,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_ew_6,,,,,,,,,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_ew_6,tunnel_ew_7,95,50,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_ew_6,tunnel_junction,5,50,,,,,,,,,,
object,cat,cat,,a little calico.,,tunnel_ew_6,,48,19,inspect,pet,you bend over and scratch under her chin. she purrs.,,,,,,,
object,cat_2,cat,,curled up. purring.,,,,48,19,inspect,invite,"would you like to come to the party, little cat?",,cat_3,,,,,
object,cat_3,cat,,"on top of the trailer, watching the scene.",,,,95,50,,,,,,,,tunnel_e_6,73,13
object,south,↡,,following the tunnel south,,tunnel_ew_6,astronomers_room,50,95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,astronomers_room,,,,,,,,,,,,,,,,,,
person,astronomer,the astronomer,,wearing glasses so thick they look like the telescope lenses. maybe they <i>are</i> telescope lenses. the better to see through stone with.,,astronomers_room,,50,70,talk,talk,,,,,astronomer_dialog_1,,,
dialog,astronomer_dialog_1,the astronomer,,"ah, you made it ... | good, good, no it's good, I'm sorry, it's just ... | I've been up all night with the telescope. the data isn't making sense anymore.","you mentioned, in the email... ",the astronomer,,,,talk,talk,,,,,astronomer_dialog_2,,,
dialog,astronomer_dialog_2,the astronomer,,"okay, so, used to be we'd set location from the GPS pings. sent down from the navigation satellites. they're still running up there, you know! all on solar, whole network of them. | and of course, the telescope's got a computer in, all the location calculation happens automatic. stable as a rock. | and since we know where <i>we</i> are, we know where everything else is. well, sure, not the stuff that has random action... but stable things, things with orbits. planets. stars. galaxies. | sure, we can't <i>see</i> jupiter, but you can trust if the scope is pointed at it, it's there.",but the data isn't right anymore...?,the astronomer,,,,talk,talk,,,,,astronomer_dialog_3,,,
dialog,astronomer_dialog_3,the astronomer,,"that's just the trouble. | recently, well... I do always track the trajectories on paper too, something to keep the hands busy, and, um... god, how to say this. | we're drifting. as far as I can tell. | jupiter should be THERE but instead the computer thinks it's HERE. | and I checked the scope, nothing wrong with it at all. it's the pings that have it reorienting the calculations. our location. we've moved halfway around the world. | which means... are we moving? or... are the satellites desyncing? or... am I just an old fool... getting my calculations wrong.....",have you tried a hard reset?,the astronomer,,,,talk,talk,,,,,astronomer_dialog_4,,,
dialog,astronomer_dialog_4,the astronomer,,"well... we could try to contact the satellites directly. see if we couldn't seed them with our last location.|there's the radio equipment in the archives. but we'd need a lot of power to send a signal through all that rock. a lot more than we've used in years. since the S.O.S days.|but you... you set up the S.O.S signal originally, right? you could do it again?","well... yes, in theory...",the astronomer,,,,talk,talk,,,,,astronomer_dialog_5,,,
dialog,astronomer_dialog_5,the astronomer,,"well. we'd need to get all the generators running at full capacity. and then we'd need to encode a ping in a format we could send... | tell you what, you work on the generators. I'll start in on the signal. | let me know when we've got power. | and, uh... take this. in case... you need to free up some power. temporarily. | don't break anything you can't fix.",[x],the astronomer,,,,make,,,,,knife,,,,
person,astronomer_2,the astronomer,,wearing glasses so thick they look like the telescope lenses. maybe they <i>are</i> telescope lenses. the better to see through stone with.,,,,50,70,talk,talk,,,,,astronomer_dialog_6,,,
dialog,astronomer_dialog_6,the astronomer,,I see you got the generators back online. | noticed the power surge from here. well done. | and not to worry - I haven't been wasting my time. look at <i>this</i>. | it's a synchronization program. you should be able to hook it right up to the radio tower in the archives. ,[x],the astronomer,,,,make,,,,,astronomers_laptop,,,,
person,astronomer_3,the astronomer,,"furrowed brow, steepled hands.",,,,50,70,talk,talk,,,,,astronomer_dialog_7,,,
dialog,astronomer_dialog_7,the astronomer,,"I got the synchronization data back. | we're not drifting. neither are the satellites, same orbits as ever. | but... they'd desynced from one another. which means, they're not talking to the ground stations anymore. | which means... there aren't ground stations anymore. not powered, working ones, anyway.",what... does that mean for us?,the astronomer,,,,talk,talk,,,,,astronomer_dialog_7_5,,,
dialog,astronomer_dialog_7_5,the astronomer,,"I'm... not really sure what it means for us. | I guess it means we can stop with the S.O.S. probably nobody's coming. | but, you know... we already had stopped, somewhere between the garden and the cat, the archives and the chores, well... it got kind of busy down here. | ... I'm glad the telescope's working again, anyway. thanks for that.",you're welcome.,the astronomer,,,,talk,talk,,,,,astronomer_dialog_8,,,
dialog,astronomer_dialog_8,the astronomer,,"oh, listen, I was thinking– maybe you can get this star projector fixed up for me?|you know, it's angela's birthday today and she used to love it... when she was little... and I thought.... |well, it shouldn't take too much to fix. just needs new glass, I think.",[x],the astronomer,,,,make,,,,,broken_star_projector,,,,
person,astronomer_4,the astronomer,,engrossed in work.,,,,50,70,talk,invite,,,,,astronomer_dialog_9,,,
dialog,astronomer_dialog_9,,,"it's time for the party already? alright, alright, let me just finish up a few things... | shouldn't be a moment ..... | just, uh, a second more ..... | .............. | alright. alright, I'll get back to this later. let's go.",[x],the astronomer,,,,inspect,,,,"astronomer_4:astronomer_5,angela_all:angela_ready",,,,,
person,astronomer_5,the astronomer,,"standing, a little awkwardly, but happily here.",,,,50,5,,,,,,,,tunnel_e_6,47,75
object,knife,pocket knife,,a little pocket knife with a sharp blade.,,,,42,64,take,take,,,,,,,,
object,astronomers_laptop,astronomer's laptop,,"a scrappy machine, running linux. a hand-made GPS ping program is open on it.",,,,46,67,take,take,,,,,,,,
object,broken_star_projector,broken star projector,,a light shines into a dome of cut stars. it is missing the glass cover.,,,,60,58,burned_out_bulb:inspect,fix,"you carefully remove the glass bulb from its metal base. it requires some convincing, but you manage to fit it onto the star projector. it is not a perfect fit, and the galaxy is a little skewed and blurred. but it is still recognizably itself.",,star_projector,,,,,
object,star_projector,star projector,,a light projects outwards from a dome of cut stars. pinpricks of light are cast on every surface. ,,,,60,58,take,take,,,,,,,,
object,telescope,telescope,,"a star-tracking model. it moves itself slowly, lens pointed at the rock ceiling. locked onto a celestial object that it cannot see.",,astronomers_room,,55,75,,,,,,,,,,
object,star_map,star map,,"creased, much amended, notes in pencil and in pen.",,astronomers_room,,40,50,enter,unfold,unfolding the star map on the floor,star_map,,,,,,
object,north,↟,,following the tunnel north,,astronomers_room,tunnel_ew_6,50,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,star_map,,,,,,,,,,,,,,,,,,
object,sun,☉,,the sun,,star_map,,3,50,,,,,,,,,,
object,mercury,☿,,mercury,,star_map,,10,50,,,,,,,,,,
object,venus,♀,,venus,,star_map,,16,50,,,,,,,,,,
object,earth,⊕,,earth,,star_map,,24,50,,,,,,,,,,
object,moon,☽,,the moon,,star_map,,24,60,,,,,,,,,,
object,mars,♂,,mars,,star_map,,30,50,,,,,,,,,,
object,asteroid_belt,asteroid belt,left,the asteroid belt,,star_map,,36,50,marble:place,place marble,,,,,,,,
object,jupiter,♃,,jupiter,,star_map,,48,50,,,,,,,,,,
object,saturn,♄,,saturn,,star_map,,58,50,,,,,,,,,,
object,uranus,♅,,uranus,,star_map,,68,50,,,,,,,,,,
object,neptune,♆,,neptune,,star_map,,76,50,,,,,,,,,,
object,pluto,♇,,pluto,,star_map,,84,50,,,,,,,,,,
object,comet,☄,,,,star_map,,95,50,,,,,,,,,,
object,✳,✳,,,,star_map,,89,19,,,,,,,,,,
object,⋆,⋆,,,,star_map,,5,64,,,,,,,,,,
object,✢,✢,,,,star_map,,14,56,,,,,,,,,,
object,✥,✥,,,,star_map,,75,51,,,,,,,,,,
object,*,*,,,,star_map,,46,1,,,,,,,,,,
object,٭,٭,,,,star_map,,91,65,,,,,,,,,,
object,✷,✷,,,,star_map,,63,100,,,,,,,,,,
object,✦,✦,,,,star_map,,58,69,,,,,,,,,,
object,✧,✧,,,,star_map,,21,13,,,,,,,,,,
object,✴,✴,,,,star_map,,4,90,,,,,,,,,,
object,✹,✹,,,,star_map,,51,54,,,,,,,,,,
object,⊛,⊛,,,,star_map,,15,11,,,,,,,,,,
object,✺,✺,,,,star_map,,93,42,,,,,,,,,,
object,⁎,⁎,,,,star_map,,58,35,,,,,,,,,,
object,𓋪,𓋪,,,,star_map,,56,75,,,,,,,,,,
object,☼,☼,,,,star_map,,12,0,,,,,,,,,,
object,☀,☀,,,,star_map,,23,84,,,,,,,,,,
object,.,.,,,,star_map,,16,84,,,,,,,,,,
object,*,*,,,,star_map,,56,61,,,,,,,,,,
object,.,.,,,,star_map,,81,48,,,,,,,,,,
object,.,.,,,,star_map,,41,51,,,,,,,,,,
object,.,.,,,,star_map,,97,33,,,,,,,,,,
object,.,.,,,,star_map,,40,52,,,,,,,,,,
object,exit,fold up map,,"folding up the starmap, carefully",,star_map,astronomers_room,50,98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_ew_7,,,,,,,,,,,,,,,,,,
object,north,↟,,following the tunnel north,,tunnel_ew_7,tunnel_e_7,50,5,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_ew_7,door_to_archives,95,50,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_ew_7,tunnel_ew_6,5,50,,,,,,,,,,
object,telephone,telephone,,no dialtone.,,tunnel_ew_7,,35,25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,door_to_archives,,,,,,,,,,,,,,,,,,
object,west,↞,,following the tunnel west,,door_to_archives,tunnel_ew_7,5,50,,,,,,,,,,
object,south,↡,,following the tunnel south,,door_to_archives,archives_1,50,95,,,,,,,,,,
object,filing_cabinet_1,filing cabinet,,a complicated categorization system. over your head.,,door_to_archives,,26,72,,,,,,,,,,
object,filing_cabinet_2,filing cabinet,,"cards upon cards upon cards. they've been neatly edited and amended over time, as archived things find their places and as the system changes to encompass them.",,door_to_archives,,73,71,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,archives_1,,,,,,,,,,,,,,,,,,
object,north,↟,,archive north,,archives_1,door_to_archives,50,5,,,,,,,,,,
object,south,↡,,archive south,,archives_1,archives_2,50,95,,,,,,,,,,
object,stacks_L_1,stacks,,aa-ce,,archives_1,,25,20,inspect|inspect|inspect|inspect|inspect|inspect,acorns|advertisement|ants|bbs|bombs (atomic)|broadcast,"drawer full of shiny seeds. compact, organized, pressed into labelled hollows. live oak. white oak. burr oak.|you press a button and a speaker begins to play a catchy jingle for apocalypse shelters. buy now, never worry again. the underground complex includes a swimming pool.|this drawer is a horizontal ant farm. their tunnels run the width of the drawer, sandwiched between two plates of glass.|login keys for the old bulletin board system, before you got personal mail running.|a piece of trinitite. fused, green, malevolent.|years of transcripts from the weekly radio play. you flip to ""may 8, 2006"" and read a half a page. it is an adaptation of cat's cradle. you put it back.",,,,,,,
object,stacks_L_2,stacks,,ce-fa,,archives_1,,25,40,inspect|inspect|inspect|inspect,classic cars|community memory|directions (driving)|ethanol,"drawer full of keys and key fobs. each one has a label with its car's location in the tunnels.|teletype printouts. you pick one up at random: ""...the computer enables the creation of a communal memory bank, accessible to anyone in the community... invite your participation and suggestions...""|a friendly robotic voice: ""keep left at the fork. your destination will be on your right.""|drawer full of clear, pungent liquid. ",,,,,,,
object,stacks_L_3,stacks,,fa-ho,,archives_1,,25,60,inspect|inspect,fantasy|fog,"your mind wanders. a salad. a sunny afternoon. someone in your bed.|a slip of paper with the word ""FOG"" written on it in red ink. you flip it over. on the back is written: ""an atmospheric phenomenon of condensed water vapor. a terrestrial cloud.""",,,,,,,
object,stacks_L_4,stacks,,ho-li,,archives_1,,25,80,inspect|inspect|inspect,junk (space)|keys (spare)|lawns,a map of the orbit trajectories of the debris field around earth. you can barely see the planet for the plotted lines.|another drawer of car keys. these are labelled with their associated duplicates in [classic cars]|drawer full of astroturf.,,,,,,,
object,stacks_R_1,stacks,,li-pa,,archives_1,,75,20,inspect|inspect|inspect|inspect,magnetic tape|mail (electronic)|mining (asteroid)|morse code,"coils of curling, flaking plastic tapes.|printouts of the last cc-all thread.|a tiny model of an asteroid, stuck on a pen. a cutaway view shows that the inside has been hollowed out. a section has been converted to housing. minuscule models of miners are positioned around the base. some seem to be having a party.|-- -.-- / -.-. ..- .-. .-. . -. - / .. ... / ...- . .-. -.-- / ... - .-. --- -. --. / .- - / - .. -- . ... --..-- / .- -. -.. / .-- . / -.-. .- -. / .-- --- .-. -.- / -... . - - . .-. / .-- .. - .... --- ..- - / - .... . / -... .- - - . .-. .. . ... --..-- / .- ... / - .... . / .- ..- .-. --- .-. .- / ... . . -- ... / - --- / -. . ..- - .-. .- .-.. .. --.. . / .- -. -.. / .- ..- --. -- . -. - / --- ..- .-. / -... .- - - . .-. .. . ... / .- .-.. - . .-. -. .- - . .-.. -.-- --..-- / -- .- -.- .. -. --. / -.-. ..- .-. .-. . -. - / - --- --- / ... - .-. --- -. --. / .- - / - .. -- . ... / ..-. --- .-. / --- ..- .-. / .-. . .-.. .- -.-- / -- .- --. -. . - ... .-.-.- / ... ..- .--. .--. --- ... . / .-- . / .-- --- .-. -.- / .-- .. - .... --- ..- - / -... .- - - . .-. .. . ... / .-- .... .. .-.. . / .-- . / .- .-. . / .- ..-. ..-. . -.-. - . -.. / -... -.-- / - .... .. ... / - .-. --- ..- -... .-.. .",,,,,,,
object,stacks_R_2,stacks,,pa-sa,,archives_1,,75,40,inspect|inspect|inspect|inspect|inspect,party line|power (solar)|radio|rug restoration|rv winterization,"a telephone receiver. you pick it up to a tinny conversation between two voices. they are discussing canning tomatoes. you set it back down.|the entire drawer is paneled in reflective glass. it feels warm to the touch.|book of best practices for the the on-air personality.|carded fibers in dozens of materials, in hundreds of colors.|an air compressor kit, fitted with a garden hose attachment.",,,,,,,
object,stacks_R_3,stacks,,sa-ve,,archives_1,,75,60,inspect|inspect|inspect|inspect,sailing|shelters|timepieces (atomic)|underworld,"the whole cabinet is full of coiled, barnacle-encrusted, rope.|little mud houses, like the kinds children would make on the playground after a night of rain.|a sample of caesium-133, suspended in glass.|a pomegranate, split in half. the seeds look like garnets in the gloom.",,,,,,,
object,stacks_R_4,stacks,,ve-zy,,archives_1,,75,80,make|inspect|inspect,vinyl (music)|waste management|water,"twenty years of mail-order catalogs. ""Hits of 1966"". | ""How shall we collect the garbage? A study in economic organization"". published in 1972. |the drawer is full of clear spring water. you touch it, and your hand comes up wet.",,,vinyl_record,,,,
object,vinyl_record,vinyl record,,a flat disk of pressed plastic. the label is worn off.,,,,63,70,take,take,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,archives_2,,,,,,,,,,,,,,,,,,
object,north,↟,,archive north,,archives_2,archives_1,50,5,,,,,,,,,,
object,south,↡,,archive south,,archives_2,archives_3,50,95,,,,,,,,,,
object,airplane_fuselage,airplane fuselage,,"a small passenger plane, missing its wings. the librarian lives in here.",,archives_2,,19,51,,,,,,,,,,
object,tree_trunk,tree trunk,,"a slice of an enormous redwood tree. the rings are marked– you counted up to 850, once.",,archives_2,,78,77,,,,,,,,,,
object,record_player,record player,,a magnavox portable player. it is painted baby blue.,,archives_2,,24,79,library_card:take,take,,,,,,,,
object,taxidermy_bird,taxidermy bird,,"a stuffed canary, wired to a perch in an ornate cage.",,archives_2,,66,18,inspect,wind key,a music-box hidden somewhere in the base of the cage begins to spin. little pinging notes echo off the tunnel walls.,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,archives_3,,,,,,,,,,,,,,,,,,
object,north,↟,,archive north,,archives_3,archives_2,50,5,,,,,,,,,,
person,librarian,the librarian,,a severe countenance only slightly interrupted by the smile lines. ,,archives_3,,60,35,talk,talk,,,,,librarian_dialog_1,,,
person,librarian_2,the librarian,,a severe countenance only slightly interrupted by the smile lines. ,,,,60,35,talk|vinyl_record:talk,talk|ask about the record,,,,,librarian_dialog_2|librarian_dialog_4,,,
person,librarian_3,the librarian,,a severe countenance only slightly interrupted by the smile lines. ,,,,60,35,photograph:talk,show the librarian your photograph,,,,,librarian_dialog_7,,,
person,librarian_4,the librarian,,reading a novel.,,,,60,35,talk,invite,,,,,librarian_dialog_8,,,
person,librarian_5,the librarian,,novel still in hand.,,,,50,5,,,,,,,,tunnel_e_6,37,63
dialog,librarian_dialog_1,,,"ah, welcome back to the archives. | we have a new categorization scheme. browse the stacks if you'd like.",[x],the librarian,,,,,,,,,,,,,
dialog,librarian_dialog_2,,,did you look through the archives? I think this system might stick. | or can I help you find something?,well... I was wondering about music.,the librarian,,,,talk,,,,,,librarian_dialog_3,,,
dialog,librarian_dialog_3,,,"music? we have all sorts! try b for broadcast, r for radio, or v for vinyl.",[x],the librarian,,,,,,,,,,,,,
dialog,librarian_dialog_4,,,"hm, I'll be honest... I'm not sure what's on it. | but I do have a record player. we could find out.",could I borrow the player? it's for angela's birthday party...,the librarian,,,,talk,,,,,,librarian_dialog_5,,,
dialog,librarian_dialog_5,,,"you want to borrow the record player? like... a loan? | well. well, well, well. | we haven't had a <i>loan</i> request in quite some time. but it's possible. it's possible. | I just need you to sign up for a library card.",is that... really necessary? ,the librarian,,,,talk,,,,,,librarian_dialog_6,,,
dialog,librarian_dialog_6,,,"it's absolutely necessary. I can't loan things out willy-nilly. come back with .. um ... a photo id? or, well, a photograph anyway.",[x],the librarian,,,,inspect,,,,librarian_2:librarian_3,,,,,
dialog,librarian_dialog_7,,,"oh, you brought it! that's a nice photograph of you.|this'll do. let me just write the date of the loan on the back... and the item loaned... | and there we go. that's a library card if I've ever seen one. | go ahead and borrow the record player!",[x],the librarian,,,,inspect,,,,photograph:library_card|librarian_3|librarian_1,,,,,
dialog,librarian_dialog_8,,,"hmm... I hear the party's on. | let's go hear that record play, yes?",[x],the librarian,,,,inspect,,,,"librarian_4:librarian_5,angela_all:angela_ready",,,,,
object,radio_transmitter,radio transmitter,,the vhs player is hooked up to it.,,archives_3,,20,80,astronomers_laptop:place,hook up astronomer's laptop,,,"radio_transmitter_2,astronomers_laptop:astronomers_laptop_2",,,,,
object,radio_transmitter_2,radio transmitter,,the astronomer's laptop is hooked up to it.,,,,20,80,inspect,hook up vhs player,,,radio_transmitter,,,,,
object,astronomers_laptop_2,astronomer's laptop,,"a scrappy machine, running linux. a hand-made GPS ping program is open on it.",,,,46,67,enter,run program,running program...,gps_program,,,,,,
object,vhs_deck_owl,vhs deck,,there's a small display screen; it is currently playing a documentary about a woman who rehabilitates owls.,,archives_3,,25,73,tape_rose:make|tape_bonsai:make|tape_mad_max:make,insert the name of the rose | insert bonsai for the home gardener | insert mad max,you push a tape into the deck.|you push a tape into the deck.|you push a tape into the deck.,,"vhs_deck_rose,fixed_television_set_owls:fixed_television_set_rose|vhs_deck_bonsai,fixed_television_set_owls:fixed_television_set_bonsai|vhs_deck_mad_max,fixed_television_set_owls:fixed_television_set_mad_max",tape_owl|tape_owl|tape_owl,,,,
object,vhs_deck_owl_2,vhs deck,,there's a small display screen; it is currently playing a documentary about a woman who rehabilitates owls.,,,,25,73,tape_rose:inspect|tape_bonsai:inspect|tape_mad_max:inspect,insert the name of the rose | insert bonsai for the home gardener | insert mad max,you push a tape into the deck.|you push a tape into the deck.|you push a tape into the deck.,,"vhs_deck_rose,fixed_television_set_owls:fixed_television_set_rose|vhs_deck_bonsai,fixed_television_set_owls:fixed_television_set_bonsai|vhs_deck_mad_max,fixed_television_set_owls:fixed_television_set_mad_max",,,,,
